cell_id,cycle,capacity_ah,temperature_C,discharge_rate_C,internal_resistance_mOhm,soh,RUL,EOL_cycle
Li_ion_B0000,1,1.99696,24.0,0.5,30.075999999999997,0.99848,135,136
Li_ion_B0000,2,1.99384,24.0,0.5,30.154,0.99692,134,136
Li_ion_B0000,3,1.99064,24.0,0.5,30.234,0.99532,133,136
Li_ion_B0000,4,1.98736,24.0,0.5,30.316,0.99368,132,136
Li_ion_B0000,5,1.984,24.0,0.5,30.4,0.992,131,136
Li_ion_B0000,6,1.98056,24.0,0.5,30.485999999999997,0.99028,130,136
Li_ion_B0000,7,1.97704,24.0,0.5,30.574,0.98852,129,136
Li_ion_B0000,8,1.97344,24.0,0.5,30.663999999999998,0.98672,128,136
Li_ion_B0000,9,1.96976,24.0,0.5,30.756,0.98488,127,136
Li_ion_B0000,10,1.966,24.0,0.5,30.85,0.983,126,136
Li_ion_B0000,11,1.96216,24.0,0.5,30.946,0.98108,125,136
Li_ion_B0000,12,1.95824,24.0,0.5,31.044,0.97912,124,136
Li_ion_B0000,13,1.95424,24.0,0.5,31.144000000000002,0.97712,123,136
Li_ion_B0000,14,1.95016,24.0,0.5,31.246000000000002,0.97508,122,136
Li_ion_B0000,15,1.946,24.0,0.5,31.35,0.973,121,136
Li_ion_B0000,16,1.94176,24.0,0.5,31.456000000000003,0.97088,120,136
Li_ion_B0000,17,1.93744,24.0,0.5,31.564,0.96872,119,136
Li_ion_B0000,18,1.93304,24.0,0.5,31.674,0.96652,118,136
Li_ion_B0000,19,1.92856,24.0,0.5,31.785999999999998,0.96428,117,136
Li_ion_B0000,20,1.924,24.0,0.5,31.900000000000002,0.962,116,136
Li_ion_B0000,21,1.91936,24.0,0.5,32.016,0.95968,115,136
Li_ion_B0000,22,1.91464,24.0,0.5,32.134,0.95732,114,136
Li_ion_B0000,23,1.90984,24.0,0.5,32.254,0.95492,113,136
Li_ion_B0000,24,1.90496,24.0,0.5,32.376,0.95248,112,136
Li_ion_B0000,25,1.9,24.0,0.5,32.5,0.95,111,136
Li_ion_B0000,26,1.89496,24.0,0.5,32.626,0.94748,110,136
Li_ion_B0000,27,1.88984,24.0,0.5,32.754,0.94492,109,136
Li_ion_B0000,28,1.88464,24.0,0.5,32.884,0.94232,108,136
Li_ion_B0000,29,1.87936,24.0,0.5,33.016000000000005,0.93968,107,136
Li_ion_B0000,30,1.874,24.0,0.5,33.15,0.937,106,136
Li_ion_B0000,31,1.86856,24.0,0.5,33.286,0.93428,105,136
Li_ion_B0000,32,1.86304,24.0,0.5,33.424,0.93152,104,136
Li_ion_B0000,33,1.85744,24.0,0.5,33.564,0.92872,103,136
Li_ion_B0000,34,1.85176,24.0,0.5,33.705999999999996,0.92588,102,136
Li_ion_B0000,35,1.846,24.0,0.5,33.849999999999994,0.923,101,136
Li_ion_B0000,36,1.84016,24.0,0.5,33.996,0.92008,100,136
Li_ion_B0000,37,1.8342399999999999,24.0,0.5,34.144000000000005,0.9171199999999999,99,136
Li_ion_B0000,38,1.82824,24.0,0.5,34.294,0.91412,98,136
Li_ion_B0000,39,1.82216,24.0,0.5,34.446,0.91108,97,136
Li_ion_B0000,40,1.816,24.0,0.5,34.6,0.908,96,136
Li_ion_B0000,41,1.80976,24.0,0.5,34.756,0.90488,95,136
Li_ion_B0000,42,1.80344,24.0,0.5,34.914,0.90172,94,136
Li_ion_B0000,43,1.79704,24.0,0.5,35.074,0.89852,93,136
Li_ion_B0000,44,1.79056,24.0,0.5,35.236000000000004,0.89528,92,136
Li_ion_B0000,45,1.784,24.0,0.5,35.4,0.892,91,136
Li_ion_B0000,46,1.77736,24.0,0.5,35.566,0.88868,90,136
Li_ion_B0000,47,1.77064,24.0,0.5,35.734,0.88532,89,136
Li_ion_B0000,48,1.76384,24.0,0.5,35.903999999999996,0.88192,88,136
Li_ion_B0000,49,1.75696,24.0,0.5,36.076,0.87848,87,136
Li_ion_B0000,50,1.75,24.0,0.5,36.25,0.875,86,136
Li_ion_B0000,51,1.74296,24.0,0.5,36.426,0.87148,85,136
Li_ion_B0000,52,1.73584,24.0,0.5,36.604,0.86792,84,136
Li_ion_B0000,53,1.72864,24.0,0.5,36.784,0.86432,83,136
Li_ion_B0000,54,1.72136,24.0,0.5,36.966,0.86068,82,136
Li_ion_B0000,55,1.714,24.0,0.5,37.15,0.857,81,136
Li_ion_B0000,56,1.70656,24.0,0.5,37.336,0.85328,80,136
Li_ion_B0000,57,1.69904,24.0,0.5,37.524,0.84952,79,136
Li_ion_B0000,58,1.69144,24.0,0.5,37.714,0.84572,78,136
Li_ion_B0000,59,1.68376,24.0,0.5,37.906000000000006,0.84188,77,136
Li_ion_B0000,60,1.676,24.0,0.5,38.1,0.838,76,136
Li_ion_B0000,61,1.6681599999999999,24.0,0.5,38.29600000000001,0.8340799999999999,75,136
Li_ion_B0000,62,1.66024,24.0,0.5,38.494,0.83012,74,136
Li_ion_B0000,63,1.65224,24.0,0.5,38.694,0.82612,73,136
Li_ion_B0000,64,1.6441599999999998,24.0,0.5,38.896,0.8220799999999999,72,136
Li_ion_B0000,65,1.6360000000000001,24.0,0.5,39.099999999999994,0.8180000000000001,71,136
Li_ion_B0000,66,1.6277599999999999,24.0,0.5,39.306000000000004,0.8138799999999999,70,136
Li_ion_B0000,67,1.61944,24.0,0.5,39.513999999999996,0.80972,69,136
Li_ion_B0000,68,1.61104,24.0,0.5,39.724000000000004,0.80552,68,136
Li_ion_B0000,69,1.60256,24.0,0.5,39.936,0.80128,67,136
Li_ion_B0000,70,1.5939999999999999,24.0,0.5,40.150000000000006,0.7969999999999999,66,136
Li_ion_B0000,71,1.58536,24.0,0.5,40.366,0.79268,65,136
Li_ion_B0000,72,1.57664,24.0,0.5,40.584,0.78832,64,136
Li_ion_B0000,73,1.56784,24.0,0.5,40.804,0.78392,63,136
Li_ion_B0000,74,1.55896,24.0,0.5,41.026,0.77948,62,136
Li_ion_B0000,75,1.55,24.0,0.5,41.25,0.775,61,136
Li_ion_B0000,76,1.54096,24.0,0.5,41.476,0.77048,60,136
Li_ion_B0000,77,1.5318399999999999,24.0,0.5,41.70400000000001,0.7659199999999999,59,136
Li_ion_B0000,78,1.52264,24.0,0.5,41.934,0.76132,58,136
Li_ion_B0000,79,1.51336,24.0,0.5,42.166,0.75668,57,136
Li_ion_B0000,80,1.504,24.0,0.5,42.4,0.752,56,136
Li_ion_B0000,81,1.4945599999999999,24.0,0.5,42.636,0.7472799999999999,55,136
Li_ion_B0000,82,1.48504,24.0,0.5,42.874,0.74252,54,136
Li_ion_B0000,83,1.4754399999999999,24.0,0.5,43.114000000000004,0.7377199999999999,53,136
Li_ion_B0000,84,1.46576,24.0,0.5,43.356,0.73288,52,136
Li_ion_B0000,85,1.456,24.0,0.5,43.6,0.728,51,136
Li_ion_B0000,86,1.44616,24.0,0.5,43.846000000000004,0.72308,50,136
Li_ion_B0000,87,1.43624,24.0,0.5,44.094,0.71812,49,136
Li_ion_B0000,88,1.42624,24.0,0.5,44.344,0.71312,48,136
Li_ion_B0000,89,1.41616,24.0,0.5,44.596,0.70808,47,136
Li_ion_B0000,90,1.406,24.0,0.5,44.85,0.703,46,136
Li_ion_B0000,91,1.39576,24.0,0.5,45.106,0.69788,45,136
Li_ion_B0000,92,1.38544,24.0,0.5,45.364000000000004,0.69272,44,136
Li_ion_B0000,93,1.3750399999999998,24.0,0.5,45.624,0.6875199999999999,43,136
Li_ion_B0000,94,1.36456,24.0,0.5,45.885999999999996,0.68228,42,136
Li_ion_B0000,95,1.3539999999999999,24.0,0.5,46.150000000000006,0.6769999999999999,41,136
Li_ion_B0000,96,1.3433599999999999,24.0,0.5,46.416000000000004,0.6716799999999999,40,136
Li_ion_B0000,97,1.33264,24.0,0.5,46.684,0.66632,39,136
Li_ion_B0000,98,1.32184,24.0,0.5,46.954,0.66092,38,136
Li_ion_B0000,99,1.31096,24.0,0.5,47.226,0.65548,37,136
Li_ion_B0000,100,1.3,24.0,0.5,47.5,0.65,36,136
Li_ion_B0000,101,1.2889599999999999,24.0,0.5,47.776,0.6444799999999999,35,136
Li_ion_B0000,102,1.2778399999999999,24.0,0.5,48.054,0.6389199999999999,34,136
Li_ion_B0000,103,1.26664,24.0,0.5,48.334,0.63332,33,136
Li_ion_B0000,104,1.25536,24.0,0.5,48.616,0.62768,32,136
Li_ion_B0000,105,1.244,24.0,0.5,48.9,0.622,31,136
Li_ion_B0000,106,1.2325599999999999,24.0,0.5,49.18600000000001,0.6162799999999999,30,136
Li_ion_B0000,107,1.22104,24.0,0.5,49.474000000000004,0.61052,29,136
Li_ion_B0000,108,1.2094399999999998,24.0,0.5,49.764,0.6047199999999999,28,136
Li_ion_B0000,109,1.19776,24.0,0.5,50.056,0.59888,27,136
Li_ion_B0000,110,1.186,24.0,0.5,50.35,0.593,26,136
Li_ion_B0000,111,1.1741599999999999,24.0,0.5,50.646,0.5870799999999999,25,136
Li_ion_B0000,112,1.16224,24.0,0.5,50.944,0.58112,24,136
Li_ion_B0000,113,1.15024,24.0,0.5,51.244,0.57512,23,136
Li_ion_B0000,114,1.1381599999999998,24.0,0.5,51.54600000000001,0.5690799999999999,22,136
Li_ion_B0000,115,1.126,24.0,0.5,51.85,0.563,21,136
Li_ion_B0000,116,1.1137599999999999,24.0,0.5,52.156000000000006,0.5568799999999999,20,136
Li_ion_B0000,117,1.10144,24.0,0.5,52.464,0.55072,19,136
Li_ion_B0000,118,1.08904,24.0,0.5,52.774,0.54452,18,136
Li_ion_B0000,119,1.07656,24.0,0.5,53.086,0.53828,17,136
Li_ion_B0000,120,1.064,24.0,0.5,53.4,0.532,16,136
Li_ion_B0000,121,1.0513599999999999,24.0,0.5,53.71600000000001,0.5256799999999999,15,136
Li_ion_B0000,122,1.03864,24.0,0.5,54.034,0.51932,14,136
Li_ion_B0000,123,1.02584,24.0,0.5,54.354,0.51292,13,136
Li_ion_B0000,124,1.01296,24.0,0.5,54.676,0.50648,12,136
Li_ion_B0000,125,1.0,24.0,0.5,55.0,0.5,11,136
Li_ion_B0000,126,0.9869599999999998,24.0,0.5,55.32600000000001,0.4934799999999999,10,136
Li_ion_B0000,127,0.97384,24.0,0.5,55.653999999999996,0.48692,9,136
Li_ion_B0000,128,0.9606399999999999,24.0,0.5,55.984,0.48031999999999997,8,136
Li_ion_B0000,129,0.94736,24.0,0.5,56.316,0.47368,7,136
Li_ion_B0000,130,0.9339999999999999,24.0,0.5,56.650000000000006,0.46699999999999997,6,136
Li_ion_B0000,131,0.92056,24.0,0.5,56.986,0.46028,5,136
Li_ion_B0000,132,0.9070399999999998,24.0,0.5,57.324000000000005,0.4535199999999999,4,136
Li_ion_B0000,133,0.89344,24.0,0.5,57.664,0.44672,3,136
Li_ion_B0000,134,0.8797599999999999,24.0,0.5,58.006,0.43987999999999994,2,136
Li_ion_B0000,135,0.8659999999999999,24.0,0.5,58.35,0.43299999999999994,1,136
Li_ion_B0000,136,0.85216,24.0,0.5,58.696,0.42608,0,136
Li_ion_B0001,1,1.99696,24.0,0.5,30.075999999999997,0.99848,139,140
Li_ion_B0001,2,1.99384,24.0,0.5,30.154,0.99692,138,140
Li_ion_B0001,3,1.99064,24.0,0.5,30.234,0.99532,137,140
Li_ion_B0001,4,1.98736,24.0,0.5,30.316,0.99368,136,140
Li_ion_B0001,5,1.984,24.0,0.5,30.4,0.992,135,140
Li_ion_B0001,6,1.98056,24.0,0.5,30.485999999999997,0.99028,134,140
Li_ion_B0001,7,1.97704,24.0,0.5,30.574,0.98852,133,140
Li_ion_B0001,8,1.97344,24.0,0.5,30.663999999999998,0.98672,132,140
Li_ion_B0001,9,1.96976,24.0,0.5,30.756,0.98488,131,140
Li_ion_B0001,10,1.966,24.0,0.5,30.85,0.983,130,140
Li_ion_B0001,11,1.96216,24.0,0.5,30.946,0.98108,129,140
Li_ion_B0001,12,1.95824,24.0,0.5,31.044,0.97912,128,140
Li_ion_B0001,13,1.95424,24.0,0.5,31.144000000000002,0.97712,127,140
Li_ion_B0001,14,1.95016,24.0,0.5,31.246000000000002,0.97508,126,140
Li_ion_B0001,15,1.946,24.0,0.5,31.35,0.973,125,140
Li_ion_B0001,16,1.94176,24.0,0.5,31.456000000000003,0.97088,124,140
Li_ion_B0001,17,1.93744,24.0,0.5,31.564,0.96872,123,140
Li_ion_B0001,18,1.93304,24.0,0.5,31.674,0.96652,122,140
Li_ion_B0001,19,1.92856,24.0,0.5,31.785999999999998,0.96428,121,140
Li_ion_B0001,20,1.924,24.0,0.5,31.900000000000002,0.962,120,140
Li_ion_B0001,21,1.91936,24.0,0.5,32.016,0.95968,119,140
Li_ion_B0001,22,1.91464,24.0,0.5,32.134,0.95732,118,140
Li_ion_B0001,23,1.90984,24.0,0.5,32.254,0.95492,117,140
Li_ion_B0001,24,1.90496,24.0,0.5,32.376,0.95248,116,140
Li_ion_B0001,25,1.9,24.0,0.5,32.5,0.95,115,140
Li_ion_B0001,26,1.89496,24.0,0.5,32.626,0.94748,114,140
Li_ion_B0001,27,1.88984,24.0,0.5,32.754,0.94492,113,140
Li_ion_B0001,28,1.88464,24.0,0.5,32.884,0.94232,112,140
Li_ion_B0001,29,1.87936,24.0,0.5,33.016000000000005,0.93968,111,140
Li_ion_B0001,30,1.874,24.0,0.5,33.15,0.937,110,140
Li_ion_B0001,31,1.86856,24.0,0.5,33.286,0.93428,109,140
Li_ion_B0001,32,1.86304,24.0,0.5,33.424,0.93152,108,140
Li_ion_B0001,33,1.85744,24.0,0.5,33.564,0.92872,107,140
Li_ion_B0001,34,1.85176,24.0,0.5,33.705999999999996,0.92588,106,140
Li_ion_B0001,35,1.846,24.0,0.5,33.849999999999994,0.923,105,140
Li_ion_B0001,36,1.84016,24.0,0.5,33.996,0.92008,104,140
Li_ion_B0001,37,1.8342399999999999,24.0,0.5,34.144000000000005,0.9171199999999999,103,140
Li_ion_B0001,38,1.82824,24.0,0.5,34.294,0.91412,102,140
Li_ion_B0001,39,1.82216,24.0,0.5,34.446,0.91108,101,140
Li_ion_B0001,40,1.816,24.0,0.5,34.6,0.908,100,140
Li_ion_B0001,41,1.80976,24.0,0.5,34.756,0.90488,99,140
Li_ion_B0001,42,1.80344,24.0,0.5,34.914,0.90172,98,140
Li_ion_B0001,43,1.79704,24.0,0.5,35.074,0.89852,97,140
Li_ion_B0001,44,1.79056,24.0,0.5,35.236000000000004,0.89528,96,140
Li_ion_B0001,45,1.784,24.0,0.5,35.4,0.892,95,140
Li_ion_B0001,46,1.77736,24.0,0.5,35.566,0.88868,94,140
Li_ion_B0001,47,1.77064,24.0,0.5,35.734,0.88532,93,140
Li_ion_B0001,48,1.76384,24.0,0.5,35.903999999999996,0.88192,92,140
Li_ion_B0001,49,1.75696,24.0,0.5,36.076,0.87848,91,140
Li_ion_B0001,50,1.75,24.0,0.5,36.25,0.875,90,140
Li_ion_B0001,51,1.74296,24.0,0.5,36.426,0.87148,89,140
Li_ion_B0001,52,1.73584,24.0,0.5,36.604,0.86792,88,140
Li_ion_B0001,53,1.72864,24.0,0.5,36.784,0.86432,87,140
Li_ion_B0001,54,1.72136,24.0,0.5,36.966,0.86068,86,140
Li_ion_B0001,55,1.714,24.0,0.5,37.15,0.857,85,140
Li_ion_B0001,56,1.70656,24.0,0.5,37.336,0.85328,84,140
Li_ion_B0001,57,1.69904,24.0,0.5,37.524,0.84952,83,140
Li_ion_B0001,58,1.69144,24.0,0.5,37.714,0.84572,82,140
Li_ion_B0001,59,1.68376,24.0,0.5,37.906000000000006,0.84188,81,140
Li_ion_B0001,60,1.676,24.0,0.5,38.1,0.838,80,140
Li_ion_B0001,61,1.6681599999999999,24.0,0.5,38.29600000000001,0.8340799999999999,79,140
Li_ion_B0001,62,1.66024,24.0,0.5,38.494,0.83012,78,140
Li_ion_B0001,63,1.65224,24.0,0.5,38.694,0.82612,77,140
