chemistry,model,y_true,y_pred
Li_ion,mlp,107.0,104.51754760742188
Li_ion,mlp,106.0,103.47203826904297
Li_ion,mlp,105.0,102.41329193115234
Li_ion,mlp,104.0,101.34136199951172
Li_ion,mlp,103.0,100.25630950927734
Li_ion,mlp,102.0,99.15821075439453
Li_ion,mlp,101.0,98.0471420288086
Li_ion,mlp,100.0,96.9232406616211
Li_ion,mlp,99.0,95.78661346435547
Li_ion,mlp,98.0,94.63742065429688
Li_ion,mlp,97.0,93.4758071899414
Li_ion,mlp,96.0,92.30198669433594
Li_ion,mlp,95.0,91.11617279052734
Li_ion,mlp,94.0,89.91859436035156
Li_ion,mlp,93.0,88.70954132080078
Li_ion,mlp,92.0,87.48932647705078
Li_ion,mlp,91.0,86.25826263427734
Li_ion,mlp,90.0,85.01676177978516
Li_ion,mlp,89.0,83.76524353027344
Li_ion,mlp,88.0,82.50416564941406
Li_ion,mlp,87.0,81.23407745361328
Li_ion,mlp,86.0,79.9555435180664
Li_ion,mlp,85.0,78.66919708251953
Li_ion,mlp,84.0,77.37576293945312
Li_ion,mlp,83.0,76.07599639892578
Li_ion,mlp,82.0,74.77070617675781
Li_ion,mlp,81.0,73.46082305908203
Li_ion,mlp,80.0,72.14727783203125
Li_ion,mlp,79.0,70.83110809326172
Li_ion,mlp,78.0,69.51335144042969
Li_ion,mlp,77.0,68.19515228271484
Li_ion,mlp,76.0,66.87764739990234
Li_ion,mlp,75.0,65.5620346069336
Li_ion,mlp,74.0,64.24956512451172
Li_ion,mlp,73.0,62.94148635864258
Li_ion,mlp,72.0,61.63917541503906
Li_ion,mlp,71.0,60.343929290771484
Li_ion,mlp,70.0,59.057010650634766
Li_ion,mlp,69.0,57.77933120727539
Li_ion,mlp,68.0,56.51116943359375
Li_ion,mlp,67.0,55.2515754699707
Li_ion,mlp,66.0,53.99782943725586
Li_ion,mlp,65.0,52.74491500854492
Li_ion,mlp,64.0,51.4853630065918
Li_ion,mlp,63.0,50.209537506103516
Li_ion,mlp,62.0,48.90658950805664
Li_ion,mlp,61.0,47.565738677978516
Li_ion,mlp,60.0,46.17782211303711
Li_ion,mlp,59.0,44.736629486083984
Li_ion,mlp,58.0,43.24014663696289
Li_ion,mlp,57.0,41.69147491455078
Li_ion,mlp,56.0,40.09964370727539
Li_ion,mlp,55.0,38.479862213134766
Li_ion,mlp,54.0,36.853031158447266
Li_ion,mlp,53.0,35.243919372558594
Li_ion,mlp,52.0,33.67997360229492
Li_ion,mlp,51.0,32.194984436035156
Li_ion,mlp,50.0,30.838159561157227
Li_ion,mlp,49.0,29.67215347290039
Li_ion,mlp,48.0,28.74822425842285
Li_ion,mlp,47.0,28.08319091796875
Li_ion,mlp,46.0,27.66192054748535
